index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge
286,1933,OUTSTANDING PRODUCTION,Fox,State Fair,False,nm10464429,0,0,actress,0,False,2021,0
303,1928,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,False,nm0169878,1867,1932,"director,actor",61,False,2021,0
304,1928,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,False,nm0170401,1887,1963,"writer,director,script_department",41,False,2021,0
305,1928,WRITING (Adaptation),Benjamin Glazer,7th Heaven,True,nm0322227,1887,1956,"writer,producer,script_department",41,False,2021,0
306,1928,WRITING (Original Story),Ben Hecht,Underworld,True,nm0372942,1894,1964,"writer,actor,producer",34,False,2021,0
311,1935,WRITING (Adaptation),Ben Hecht,Viva Villa!,False,nm0372942,1894,1964,"writer,actor,producer",41,False,2021,0
316,1941,WRITING (Original Screenplay),Ben Hecht,Angels over Broadway,False,nm0372942,1894,1964,"writer,actor,producer",47,False,2021,0
321,1947,WRITING (Original Screenplay),Ben Hecht,Notorious,False,nm0372942,1894,1964,"writer,actor,producer",53,False,2021,0
326,1928,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,False,nm0240533,0,0,actor,0,False,2021,0
327,1928,WRITING (Title Writing),Joseph Farnham,,True,nm0267868,1884,1931,"writer,editor,actor",44,False,2021,0
328,1929,ACTOR,George Bancroft,Thunderbolt,False,nm0051628,1882,1956,actor,47,False,2021,0
332,1929,ACTOR,Warner Baxter,In Old Arizona,True,nm0062828,1889,1951,"actor,soundtrack",40,False,2021,0
333,1929,ACTOR,Chester Morris,Alibi,False,nm0606431,1901,1970,"actor,soundtrack",28,False,2021,0
335,1929,ACTOR,Paul Muni,The Valiant,False,nm0612847,1895,1967,"actor,soundtrack",34,False,2021,0
338,1933,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,False,nm0612847,1895,1967,"actor,soundtrack",38,False,2021,0
341,1936,ACTOR,Paul Muni,Black Fury,False,nm0612847,1895,1967,"actor,soundtrack",41,False,2021,0
344,1937,ACTOR,Paul Muni,The Story of Louis Pasteur,True,nm0612847,1895,1967,"actor,soundtrack",42,False,2021,0
347,1938,ACTOR,Paul Muni,The Life of Emile Zola,False,nm0612847,1895,1967,"actor,soundtrack",43,False,2021,0
350,1960,ACTOR,Paul Muni,The Last Angry Man,False,nm0612847,1895,1967,"actor,soundtrack",65,False,2021,0
353,1929,ACTOR,Lewis Stone,The Patriot,False,nm0832011,1879,1953,"actor,writer",50,False,2021,0
